"phenotype_id","version_id","phenotype_name","type","author","owner","tags","collections","clinical_terminologies","data_sources","versions"
"PH1","2","COVID-19 infection","Disease or Syndrome","BHF CVD COVID UK Consortium","ieuan.scanlon","[]","[{'description': 'BHF Data Science Centre', 'id': 20, 'collection_brand': 'HDRUK'}, {'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'ICD10 codes', 'id': 4}, {'name': 'SNOMED  CT codes', 'id': 9}]","[{'id': 1, 'name': 'GPES Data for Pandemic Planning and Research (COVID-19)', 'url': 'https://web.www.healthdatagateway.org/dataset/696cfc9f-090d-4328-94ac-140760a77c73', 'datasource_id': 1}, {'id': 2, 'name': 'Hospital Episode Statistics Admitted Patient Care', 'url': 'https://web.www.healthdatagateway.org/dataset/2b6409db-a669-4bef-9fd5-39c2b6f8d5e9', 'datasource_id': 2}, {'id': 4, 'name': 'Covid-19 Second Generation Surveillance System', 'url': 'https://web.www.healthdatagateway.org/dataset/fede31c6-a9c5-4cfb-9866-9b58b2199cff', 'datasource_id': 4}, {'id': 3, 'name': 'Civil Registration - Deaths', 'url': 'https://web.www.healthdatagateway.org/dataset/050163dc-1728-4ac5-a7d9-4dd3ca0ca12a', 'datasource_id': 3}]","[{'version_id': 2, 'version_name': 'COVID-19 infection', 'version_date': '2021-10-06T15:58:48.704899Z', 'is_published': True, 'is_latest': True}]"
"PH2","4","Anxiety","Disease or Syndrome","Matthew J Carr, Sarah Steeg, Roger T Webb, Nav Kapur, Carolyn A Chew-Graham, Kathrym M Abel, Holly Hope, Matthias Pierce, Darren M. Ashcroft","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}]","[{'id': 6, 'name': 'CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/1d574c14-1af0-490d-9c4e-be88cfd0e345', 'datasource_id': 6}, {'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}]","[{'version_id': 4, 'version_name': 'Anxiety', 'version_date': '2021-10-06T15:58:50.792993Z', 'is_published': True, 'is_latest': True}]"
"PH3","6","Depression","Disease or Syndrome","Matthew J Carr, Sarah Steeg, Roger T Webb, Nav Kapur, Carolyn A Chew-Graham, Kathrym M Abel, Holly Hope, Matthias Pierce, Darren M. Ashcroft","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}]","[{'id': 6, 'name': 'CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/1d574c14-1af0-490d-9c4e-be88cfd0e345', 'datasource_id': 6}, {'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}]","[{'version_id': 6, 'version_name': 'Depression', 'version_date': '2021-10-06T15:58:53.334632Z', 'is_published': True, 'is_latest': True}]"
"PH4","8","Self Harm","Disease or Syndrome","Matthew J Carr, Sarah Steeg, Roger T Webb, Nav Kapur, Carolyn A Chew-Graham, Kathrym M Abel, Holly Hope, Matthias Pierce, Darren M. Ashcroft","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}]","[{'id': 6, 'name': 'CPRD Aurum', 'url': 'https://web.www.healthdatagateway.org/dataset/1d574c14-1af0-490d-9c4e-be88cfd0e345', 'datasource_id': 6}, {'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}]","[{'version_id': 8, 'version_name': 'Self Harm', 'version_date': '2021-10-06T15:59:01.823380Z', 'is_published': True, 'is_latest': True}]"
"PH5","1509","Cardiovascular Disease","Disease or Syndrome","Ellie Paige, Jessica Barret, David Stevens, Ruth H Keog, Michael J Sweeting, Irwin Nazareth, Irene Petersen, Angela M Wood","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}]","[{'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}]","[{'version_id': 1509, 'version_name': 'Cardiovascular Disease', 'version_date': '2021-10-19T09:37:47.339628Z', 'is_published': True, 'is_latest': True}]"
"PH6","12","Cardiovascular Disease (Psoriasis Association Study with CVD)","Disease or Syndrome","Rosa Parisi, Martin K Rutter, Mark Lunt, Helen S Young, Deborah P M Symmons, Christopher E M Griffiths, Darren M Ashcroft","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}, {'name': 'ICD10 codes', 'id': 4}, {'name': 'ICD9 codes', 'id': 17}]","[{'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}]","[{'version_id': 12, 'version_name': 'Cardiovascular Disease (Psoriasis Association Study with CVD)', 'version_date': '2021-10-06T15:59:06.444487Z', 'is_published': True, 'is_latest': True}]"
"PH7","14","Psoriasis","Disease or Syndrome","Rosa Parisi, Martin K Rutter, Mark Lunt, Helen S Young, Deborah P M Symmons, Christopher E M Griffiths, Darren M Ashcroft","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}]","[{'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}]","[{'version_id': 14, 'version_name': 'Psoriasis', 'version_date': '2021-10-06T15:59:07.568412Z', 'is_published': True, 'is_latest': True}]"
"PH8","16","Diabetes","Disease or Syndrome","Alison K Wright, Evangelos Kontopantelis, Richard Emsley, Iain Buchan, Mamas A Mamas, Naveed Sattar, Darren M Ashcroft, Martin K Rutter","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}]","[{'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}]","[{'version_id': 16, 'version_name': 'Diabetes', 'version_date': '2021-10-06T15:59:10.618749Z', 'is_published': True, 'is_latest': True}]"
"PH9","1510","Alcohol Consumption","Lifestyle Risk Factor","Bell S, Daskalopoulou M, Rapsomaniki E, George J, Britton A, Bobak M, Casas JP, Dale CE, Denaxas S, Shah AD, Hemingway H","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[{'name': 'Read codes v2', 'id': 5}]","[{'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}]","[{'version_id': 1510, 'version_name': 'Alcohol Consumption', 'version_date': '2021-10-19T13:51:28.212701Z', 'is_published': True, 'is_latest': True}]"
"PH10","20","Heart Rate","Biomarker","Archangelidi O","ieuan.scanlon","[]","[{'description': 'Phenotype Library', 'id': 18, 'collection_brand': 'HDRUK'}]","[]","[{'id': 5, 'name': 'CPRD GOLD', 'url': 'https://web.www.healthdatagateway.org/dataset/a29feafa-7bdd-44e9-b977-c9d26425e67f', 'datasource_id': 5}]","[{'version_id': 20, 'version_name': 'Heart Rate', 'version_date': '2021-10-06T15:59:13.944236Z', 'is_published': True, 'is_latest': True}]"
